C(wt),Al(wt),V(wt),Cr(wt),Mn(wt),Fe(wt),Co(wt),Ni(wt),Cu(wt),Mo(wt),G_RT_FCC,H_RT_FCC,phase_fraction_fcc,phase_fraction_bcc,second_phase_fraction,Config_Entropy,(0-T)*Entropy,melting point(C),grain(um),Anneal_Temp(K),Anneal_Time(h),R,CR,Hom_Temp(K),Enthalpy_FCC
0.0,0.0,0.44448000000000004,0.41818086610462374,0.3889122217555649,0.2845630617095091,0.29168356997971606,0.29168356997971606,0.38891222175556495,0.38891222175556495,0.07208861256262655,0.7358064518995069,0.46673936750272627,0.5481770833333333,0.5634328358208954,0.775865466727977,0.22414444058250726,0.6382301516709168,0.0,0.8227183191070255,0.000992063492063492,0.2604166666666667,0.0,0.9046408137317228,0.07202420401572829
0.0,0.03734249713631155,0.0,0.45240090066502586,0.4117317653646927,0.31133389788838195,0.31818796484110884,0.31818796484110884,0.41173176536469275,0.41173176536469275,0.023432068031643105,0.5081599407922852,0.43293347873500543,0.7565104166666665,0.08208955223880596,0.6288510806017207,0.3711538878037559,0.5897431318906516,0.0,0.5403808273145108,0.00011577380952380952,0.9583333333333335,0.9375000000000001,0.0,0.023518728973609737
0.0,0.03734249713631155,0.47056,0.298397654081793,0.4117317653646927,0.31133389788838195,0.31818796484110884,0.31818796484110884,0.41173176536469275,0.41173176536469275,0.01791279746999852,0.5042695479192452,0.430752453653217,0.7604166666666666,0.07835820895522388,0.8094987847336268,0.1905026954232114,0.5901955897375215,0.0,0.7537754432042022,0.0001653769841269841,0.10416666666666669,0.9062500000000001,0.0,0.017912428437807826
0.0,0.03734249713631155,0.47056,0.45240090066502586,0.0,0.31133389788838195,0.31818796484110884,0.31818796484110884,0.41173176536469275,0.41173176536469275,0.04618577492406306,0.311596369351656,0.4002181025081788,0.82421875,0.0,0.6288510806017207,0.3711538878037559,0.6898871353311158,0.0,0.5732107682206171,0.09523809523809523,0.9062500000000001,0.03125,0.9682136045772409,0.046238082439232886
0.0,0.03734249713631155,0.47056,0.45240090066502586,0.4117317653646927,0.15065424645559594,0.31818796484110884,0.31818796484110884,0.41173176536469275,0.41173176536469275,0.052396169851279706,0.33620235462613585,0.42857142857142855,0.7903645833333333,0.0,0.782220981409709,0.21779072454340387,0.6458479049024781,0.0,0.5075508864084044,0.015873015873015872,0.0,0.0,0.9364272091544819,0.05235813780903642
0.0,0.03734249713631155,0.47056,0.45240090066502586,0.4117317653646927,0.31133389788838195,0.15910750507099397,0.31818796484110884,0.41173176536469275,0.41173176536469275,0.02098022620257367,0.49790676206477136,0.42529989094874593,0.7942708333333333,0.0,0.782220981409709,0.21779072454340387,0.6523331340409424,0.0,0.7701904136572554,0.00496031746031746,0.7291666666666666,0.46875000000000006,0.8410680228862047,0.02098962578654817
0.0,0.03734249713631155,0.47056,0.45240090066502586,0.4117317653646927,0.31133389788838195,0.31818796484110884,0.15910750507099392,0.41173176536469275,0.41173176536469275,0.010602941758706574,0.47780932343813437,0.3511450381679389,0.8697916666666666,0.03731343283582089,0.782220981409709,0.21779072454340387,0.6583659053325368,0.0,0.5075508864084044,8.263888888888888e-05,0.7291666666666666,0.9895833333333334,0.0,0.010628008912065612
0.0,0.03734249713631155,0.47056,0.45240090066502586,0.4117317653646927,0.31133389788838195,0.31818796484110884,0.31818796484110884,0.0,0.41173176536469275,0.10173724007298812,0.21599554520585432,0.41221374045801523,0.8098958333333333,0.0,0.6288510806017207,0.3711538878037559,0.7141690397797831,0.0,0.4418910045961917,0.001984126984126984,0.9166666666666667,0.5208333333333334,0.8410680228862047,0.10170567627872806
0.0,0.03734249713631155,0.47056,0.45240090066502586,0.4117317653646927,0.31133389788838195,0.31818796484110884,0.31818796484110884,0.41173176536469275,0.0,0.02049400805594015,0.5093005155797852,0.4176663031624864,0.7747395833333333,0.08208955223880596,0.6288510806017207,0.3711538878037559,0.4822089836179848,0.0,0.9015101772816808,0.03571428571428571,0.9687500000000001,0.05208333333333334,0.9491417673235856,0.02058510486538001
0.0,0.07949599083619707,0.0,0.32727653558150493,0.4374912501749965,0.34146474717950126,0.3480189317106153,0.3480189317106153,0.43749125017499657,0.4374912501749965,0.021467052121890595,0.5123202067649968,0.47110141766630315,0.7122395833333334,0.07835820895522388,0.660595808973264,0.33940850862176664,0.5359685296106123,0.0,0.4418910045961917,0.09523809523809523,0.9895833333333334,0.20833333333333337,0.6821360457724094,0.021539921965199937
0.0,0.07949599083619707,0.0,0.4909148033722574,0.0,0.34146474717950126,0.3480189317106153,0.3480189317106153,0.43749125017499657,0.4374912501749965,0.04684920222021105,0.31114102790776604,0.4296619411123228,0.7890624999999999,0.0,0.46864941207383537,0.5313577679500758,0.6418971525211807,0.0,0.8227183191070255,0.00496031746031746,0.3125,0.625,0.6821360457724094,0.04698507768520832
0.0,0.07949599083619707,0.0,0.4909148033722574,0.4374912501749965,0.17073237358975057,0.3480189317106153,0.3480189317106153,0.43749125017499657,0.4374912501749965,0.05142729336944307,0.3487453455219724,0.4591057797164667,0.7539062499999999,0.0,0.6315936412008145,0.36840542189500036,0.5951026625213531,0.0,0.9999999999999999,0.003968253968253968,0.3125,0.7291666666666666,0.8092816274634457,0.051470239484864067
